PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9
5dbcd5dd7125df26a5fce2f3,1.0,5.0,2.0,2.0,5.0,33.0,1.0,2.0,6.0
5c3bfa59e8ff27000171a46a,1.0,5.0,3.0,5.0,30.0,28.0,1.0,2.0,2.0
5e6c81b731cc1e23c9e0fa0d,1.0,3.0,4.0,5.0,25.0,23.0,1.0,2.0,5.0
5bbbca5d63ea8a00019bd7fa,1.0,4.0,2.0,2.0,22.0,31.0,2.0,2.0,5.0
5bf60a763b6cdc00010fb34c,1.0,3.0,3.0,4.0,10.0,42.0,1.0,2.0,5.0
59f986488a2d3d00012c199e,1.0,3.0,2.0,2.0,36.0,28.0,1.0,2.0,2.0
5e67bdafe78ec00240eb489d,1.0,3.0,1.0,4.0,1.0,46.0,1.0,2.0,5.0
56f850b61b99b8000c3657a6,1.0,4.0,2.0,2.0,3.0,49.0,2.0,2.0,5.0
561c4cee811d22000ff316d5,1.0,3.0,2.0,3.0,35.0,47.0,2.0,2.0,5.0
5b8e01754457e80001f2ea75,1.0,4.0,2.0,2.0,5.0,26.0,1.0,1.0,5.0
5d72974705a71e00015a7905,1.0,3.0,3.0,2.0,47.0,53.0,2.0,2.0,5.0
5c1a85dcc8a84e0001a84370,1.0,6.0,3.0,4.0,5.0,45.0,1.0,2.0,5.0
5d8e258e7a33770016980d2b,1.0,3.0,4.0,1.0,43.0,29.0,2.0,2.0,5.0
5dcf1dd6e4f4a006d66099c7,1.0,5.0,2.0,2.0,5.0,50.0,1.0,2.0,5.0
5e83ccc8df69770faa0f891b,2.0,1.0,2.0,1.0,5.0,18.0,1.0,1.0,5.0
5d5098ef7d9cfb001592b03e,2.0,1.0,2.0,2.0,47.0,19.0,2.0,2.0,2.0
5e6db3f02649e03834220ef0,2.0,1.0,1.0,6.0,46.0,20.0,1.0,2.0,5.0
5bd44384f656800001b6eae1,2.0,1.0,2.0,1.0,9.0,22.0,1.0,2.0,5.0
5b0b68fcbd9c31000156311d,2.0,1.0,3.0,4.0,43.0,19.0,1.0,1.0,1.0
5e3c4f807635c2012090dc10,2.0,3.0,2.0,1.0,15.0,20.0,1.0,2.0,2.0
5dd344433228863572845855,2.0,1.0,3.0,2.0,32.0,41.0,2.0,2.0,5.0
5d41ba8f17bbbd0017e66e4a,2.0,1.0,3.0,5.0,13.0,20.0,1.0,2.0,6.0
5e1f97965851982c1de2c535,2.0,1.0,2.0,3.0,38.0,19.0,1.0,2.0,5.0
5df463c58640203215f17b97,2.0,1.0,2.0,2.0,5.0,45.0,2.0,2.0,6.0
5d143d11f4b685001c1992a9,2.0,1.0,2.0,1.0,5.0,19.0,2.0,2.0,2.0
5e7e7bfe66904255805bba88,2.0,1.0,2.0,2.0,13.0,20.0,1.0,2.0,5.0
5d4a15309855f10015912c4b,1.0,1.0,2.0,1.0,5.0,30.0,2.0,2.0,6.0
5c0c23a7217d60000112173a,2.0,1.0,2.0,2.0,35.0,21.0,2.0,2.0,5.0
5e6d38bc3c76d22f22a20746,2.0,1.0,3.0,4.0,43.0,21.0,1.0,2.0,4.0
5e5307a797da5232c92eeeee,1.0,1.0,2.0,2.0,43.0,19.0,2.0,2.0,5.0
5b176378f6cef00001429549,2.0,1.0,2.0,2.0,37.0,43.0,2.0,2.0,5.0
5e65a3395a3e4e323e0b76e2,1.0,1.0,1.0,6.0,42.0,20.0,1.0,2.0,5.0
5e3abacf0d41ad2b850b56f5,2.0,1.0,2.0,2.0,47.0,43.0,2.0,2.0,5.0
5cffd34e74e65b0019305bc4,2.0,1.0,2.0,1.0,15.0,31.0,2.0,2.0,5.0
5e53e396976c923ee6551945,2.0,1.0,2.0,2.0,22.0,20.0,1.0,2.0,4.0
5c00224bd5b5b60001317eba,2.0,1.0,2.0,1.0,46.0,22.0,2.0,2.0,5.0
5e782094dec8903a2b88cc4c,2.0,1.0,2.0,2.0,43.0,18.0,1.0,1.0,1.0
5e3785d80d436271fbb1cf8e,2.0,1.0,2.0,3.0,1.0,22.0,1.0,2.0,5.0
5da7591d4a177900114872be,2.0,1.0,3.0,1.0,5.0,27.0,2.0,2.0,5.0
5dd3bfcd8b8df139ce007928,1.0,7.0,2.0,2.0,47.0,51.0,1.0,2.0,5.0
